total_raised,total_contributions,date,committee,committee_name
141031.15000000002,359,2021-06,C00508804,SINEMA FOR ARIZONA
22375.0,16,2021-03,C00446906,KURT SCHRADER FOR CONGRESS
1123625.6099999952,14131,2021-03,C00696526,MARK KELLY FOR SENATE
210325.0,105,2021-03,C00721449,JAKE AUCHINCLOSS FOR CONGRESS
31717.230000000003,195,2021-03,C00606939,ROSEN FOR NEVADA
249176.2600000001,843,2021-06,C00640003,MIKIE SHERRILL FOR CONGRESS
13643.75,84,2021-05,C00312017,KIND FOR CONGRESS COMMITTEE
50094.06,60,2021-02,C00662619,ANDY LEVIN FOR CONGRESS
295216.0,520,2021-04,C00769604,LASRY FOR WISCONSIN
443774.4700000001,1094,2021-04,C00775510,VAL ARKOOSH FOR US SENATE
291824.25,795,2021-03,C00637868,COLIN ALLRED FOR CONGRESS
189621.5,446,2021-06,C00492991,BLUMENTHAL FOR CONNECTICUT
33909.0,287,2021-04,C00513077,JULIA BROWNLEY FOR CONGRESS
311545.5,511,2021-05,C00769604,LASRY FOR WISCONSIN
65417.5,231,2021-03,C00660464,CHRIS PAPPAS FOR CONGRESS
185178.0,590,2021-04,C00765164,ALEX PADILLA FOR SENATE
74402.0,96,2021-05,C00475392,CHRIS COONS FOR DELAWARE
64022.5,335,2021-05,C00547240,MOULTON FOR CONGRESS
571736.9899999986,11125,2021-06,C00765800,FETTERMAN FOR PA
273625.0,929,2021-02,C00458398,BENNET FOR COLORADO
165925.0,94,2021-06,C00701953,ADRIANO ESPAILLAT FOR CONGRESS
129163.05,562,2021-03,C00664375,ELAINE FOR CONGRESS
180164.40000000002,420,2021-02,C00656686,TOM MALINOWSKI FOR CONGRESS
53548.880000000005,100,2021-04,C00476564,CICILLINE COMMITTEE
155377.24,299,2021-06,C00486563,MANCHIN FOR WEST VIRGINIA
81739.0,251,2021-06,C00662619,ANDY LEVIN FOR CONGRESS
207005.1200000001,992,2021-06,C00648220,ANDY KIM FOR CONGRESS
64285.2,249,2021-06,C00438713,FRIENDS OF MARK WARNER
159872.0,174,2021-05,C00620443,STEPHANIE MURPHY FOR CONGRESS
247309.5,745,2021-02,C00492991,BLUMENTHAL FOR CONNECTICUT
38831.2,215,2021-02,C00438713,FRIENDS OF MARK WARNER
12115.46,81,2021-02,C00699744,TORRES FOR CONGRESS
305630.5200000001,1625,2021-03,C00650150,ELISSA SLOTKIN FOR CONGRESS
188642.48,406,2021-06,C00657411,CONOR LAMB FOR CONGRESS
35225.0,45,2021-02,C00701953,ADRIANO ESPAILLAT FOR CONGRESS
62371.44,191,2021-03,C00729277,DEBORAH ROSS FOR CONGRESS
92725.0,41,2021-02,C00721449,JAKE AUCHINCLOSS FOR CONGRESS
50855.3,404,2021-05,C00331769,BARBARA LEE FOR CONGRESS
23200.09,127,2021-06,C00768366,PALMER FOR ILLINOIS
260853.0,822,2021-06,C00575092,FRIENDS OF RAJA FOR CONGRESS
152080.5000000001,599,2021-04,C00639146,JOSH HARDER FOR CONGRESS
464451.85000000003,3637,2021-05,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE
128518.71,605,2021-02,C00502294,SWALWELL FOR CONGRESS
139842.84,364,2021-04,C00657411,CONOR LAMB FOR CONGRESS
204375.15000000002,793,2021-03,C00656686,TOM MALINOWSKI FOR CONGRESS
84604.11000000002,303,2021-04,C00711150,MONDAIRE FOR CONGRESS
226461.44000000003,698,2021-03,C00649376,CAROLYN FOR CONGRESS
185577.6600000014,3584,2021-06,C00574889,TAMMY FOR ILLINOIS
281757.40000000014,1178,2021-03,C00672295,FRIENDS OF LUCY MCBATH
55348.5,443,2021-03,C00512426,SEAN PATRICK MALONEY FOR CONGRESS
184899.93999999997,522,2021-03,C00646844,CINDY AXNE FOR CONGRESS
57125.0,128,2021-05,C00556506,TED LIEU FOR CONGRESS
65810.33,356,2021-04,C00638650,HALEY STEVENS FOR CONGRESS
91150.0,32,2021-04,C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE
272424.02,546,2021-06,C00769604,LASRY FOR WISCONSIN
55865.21,408,2021-06,C00513077,JULIA BROWNLEY FOR CONGRESS
173009.2,372,2021-02,C00495952,SCHNEIDER FOR CONGRESS
118192.5,272,2021-03,C00668228,NEVADANS FOR STEVEN HORSFORD
65268.0,105,2021-03,C00503110,SCOTT PETERS FOR CONGRESS
181222.66,263,2021-06,C00575233,ERIC LYNN FOR CONGRESS
213954.01,1017,2021-03,C00649913,SPANBERGER FOR CONGRESS
148852.4800000001,816,2021-05,C00639146,JOSH HARDER FOR CONGRESS
289433.55000000005,1480,2021-03,C00652719,LAUREN UNDERWOOD FOR CONGRESS
87894.51000000001,78,2021-04,C00271312,COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS
23835.0,82,2021-04,C00461061,BERA FOR CONGRESS
56052.369999999995,312,2021-02,C00638650,HALEY STEVENS FOR CONGRESS
58349.87,282,2021-06,C00780023,TEXANS FOR JOHN LIRA
75389.0,325,2021-04,C00503052,JEFFRIES FOR CONGRESS
20144.25,260,2021-05,C00196774,THE MARKEY COMMITTEE
133607.05000000002,407,2021-03,C00652628,DR KIM SCHRIER FOR CONGRESS
181930.17,757,2021-06,C00638650,HALEY STEVENS FOR CONGRESS
98030.0,222,2021-03,C00590778,LISA BLUNT ROCHESTER FOR CONGRESS
68851.0,311,2021-02,C00590489,VAL DEMINGS FOR CONGRESS
274168.9199999999,2232,2021-04,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE
142983.0400000002,745,2021-04,C00672295,FRIENDS OF LUCY MCBATH
133753.51,380,2021-03,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS
120609.44,792,2021-05,C00640003,MIKIE SHERRILL FOR CONGRESS
229010.83,502,2021-06,C00781252,KARA HAHN FOR CONGRESS
36814.89999999998,65,2021-03,C00653923,VERONICA ESCOBAR FOR CONGRESS
150375.0,231,2021-03,C00258475,ANNA ESHOO FOR CONGRESS
104263.71,340,2021-04,C00344473,STABENOW FOR US SENATE
149290.74,542,2021-03,C00575209,ANGIE CRAIG FOR CONGRESS
243986.95999999993,1795,2021-05,C00458398,BENNET FOR COLORADO
97195.0,143,2021-06,C00780882,BRACY FOR CONGRESS
86205.0,243,2021-03,C00503052,JEFFRIES FOR CONGRESS
859454.2499999991,15670,2021-02,C00765800,FETTERMAN FOR PA
83348.22,275,2021-02,C00646844,CINDY AXNE FOR CONGRESS
148201.98,421,2021-03,C00634253,MIKE LEVIN FOR CONGRESS
95285.0,156,2021-06,C00273169,MALONEY FOR CONGRESS
91400.94,526,2021-06,C00308676,WYDEN FOR SENATE
1419262.7099999755,24861,2021-06,C00736876,WARNOCK FOR GEORGIA
95747.4,471,2021-03,C00215905,DEFAZIO FOR CONGRESS
160409.90000000002,886,2021-06,C00649913,SPANBERGER FOR CONGRESS
216461.75,696,2021-03,C00658567,SUSAN WILD FOR CONGRESS
82429.54000000036,487,2021-06,C00413914,GILLIBRAND FOR SENATE
197615.87000000002,1104,2021-03,C00670034,SHARICE FOR CONGRESS
137114.8,858,2021-06,C00776740,SARAH FOR WISCONSIN
89236.25,294,2021-02,C00637371,CHRISSY HOULAHAN FOR CONGRESS
297080.0,450,2021-03,C00492991,BLUMENTHAL FOR CONNECTICUT
132915.60000000003,280,2021-03,C00582890,TOM O'HALLERAN FOR CONGRESS
212898.92000000007,404,2021-03,C00509968,CARTWRIGHT FOR CONGRESS
125105.0,522,2021-03,C00640714,DEAN PHILLIPS FOR CONGRESS
95670.96999999999,192,2021-06,C00607200,SUOZZI FOR CONGRESS
72368.8,529,2021-05,C00776740,SARAH FOR WISCONSIN
144159.65,666,2021-02,C00346312,FRIENDS OF SCHUMER
72389.74999999999,617,2021-04,C00668608,RASHIDA TLAIB FOR CONGRESS
32589.0,338,2021-05,C00513077,JULIA BROWNLEY FOR CONGRESS
59140.0,347,2021-04,C00637363,JASON CROW FOR CONGRESS
66460.4,73,2021-03,C00289603,LOFGREN FOR CONGRESS
56015.47000000004,459,2021-04,C00633859,DELGADO FOR CONGRESS
32690.22,101,2021-03,C00547240,MOULTON FOR CONGRESS
112288.72,413,2021-03,C00657411,CONOR LAMB FOR CONGRESS
186069.51000000004,227,2021-02,C00711150,MONDAIRE FOR CONGRESS
213002.47,417,2021-03,C00655613,SUSIE LEE FOR CONGRESS
90949.04000000004,504,2021-06,C00653816,COMMITTEE TO ELECT JARED GOLDEN
46446.0,270,2021-04,C00637371,CHRISSY HOULAHAN FOR CONGRESS
159036.22,264,2021-03,C00556506,TED LIEU FOR CONGRESS
84958.0,176,2021-05,C00238865,FRIENDS OF ROSA DELAURO
53785.5,374,2021-03,C00653816,COMMITTEE TO ELECT JARED GOLDEN
66000.0,199,2021-04,C00258475,ANNA ESHOO FOR CONGRESS
42793.96,174,2021-06,C00499947,FRIENDS OF DAN KILDEE
106455.2,403,2021-06,C00495952,SCHNEIDER FOR CONGRESS
133901.43,831,2021-05,C00652719,LAUREN UNDERWOOD FOR CONGRESS
84258.32,128,2021-02,C00264564,MENENDEZ FOR SENATE
1475927.9700000028,25688,2021-03,C00736876,WARNOCK FOR GEORGIA
224030.40999999997,2626,2021-03,C00346312,FRIENDS OF SCHUMER
1127845.499999999,23913,2021-03,C00765800,FETTERMAN FOR PA
88866.4,109,2021-06,C00289603,LOFGREN FOR CONGRESS
93678.4,416,2021-02,C00605592,PRAMILA FOR CONGRESS
133075.0,137,2021-04,C00264564,MENENDEZ FOR SENATE
42802.0,212,2021-06,C00555888,FRIENDS OF DON BEYER
14688.5,68,2021-04,C00476523,KAREN BASS FOR CONGRESS
54340.28,247,2021-03,C00677898,FRIENDS OF JAHANA HAYES
238453.35,1053,2021-06,C00502294,SWALWELL FOR CONGRESS
13300.0,10,2021-06,C00576041,SALUD CARBAJAL FOR CONGRESS
245349.53999999998,776,2021-03,C00573758,VAN HOLLEN FOR SENATE
206229.0,1214,2021-06,C00782128,MATT PUTORTI FOR CONGRESS
33501.5,121,2021-05,C00459099,DELBENE FOR CONGRESS
209672.03,3198,2021-05,C00346312,FRIENDS OF SCHUMER
36642.16,305,2021-05,C00606939,ROSEN FOR NEVADA
114945.92999999992,735,2021-05,C00648220,ANDY KIM FOR CONGRESS
77471.26999999997,423,2021-02,C00709196,BOWMAN FOR CONGRESS
101385.3600000001,301,2021-06,C00701847,DICKINSON FOR CONGRESS COMMITTEE
60275.1,99,2021-05,C00385773,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS
16246.0,42,2021-04,C00494856,LOIS FRANKEL FOR CONGRESS
127705.34999999999,567,2021-04,C00656686,TOM MALINOWSKI FOR CONGRESS
57591.0,256,2021-02,C00658567,SUSAN WILD FOR CONGRESS
221746.4,2214,2021-06,C00769901,MALCOLM PAC
161781.05,168,2021-06,C00068353,LEAHY FOR U.S. SENATOR COMMITTEE
88294.89999999998,1503,2021-02,C00437889,PETERS FOR MICHIGAN
91910.3800000016,675,2021-03,C00413914,GILLIBRAND FOR SENATE
40482.5,136,2021-03,C00312017,KIND FOR CONGRESS COMMITTEE
76853.13,439,2021-03,C00502575,DR. RAUL RUIZ FOR CONGRESS
12738.34,46,2021-06,C00413179,WELCH FOR CONGRESS
65489.0,203,2021-06,C00547240,MOULTON FOR CONGRESS
225162.61000000002,834,2021-03,C00638650,HALEY STEVENS FOR CONGRESS
22271.239999999994,211,2021-02,C00670844,MAD 4 PA PAC
579409.7699999992,11686,2021-05,C00590489,VAL DEMINGS FOR CONGRESS
174981.0,650,2021-06,C00774927,DR. FRIESE FOR ARIZONA
61942.0,69,2021-06,C00516666,GRACE FOR NEW YORK
586769.9099999997,13517,2021-03,C00636571,KATIE PORTER FOR CONGRESS
46189.600000000006,612,2021-06,C00606939,ROSEN FOR NEVADA
109188.21,321,2021-05,C00410803,WHITEHOUSE FOR SENATE
181002.0,369,2021-05,C00779058,BEN DIAMOND FOR CONGRESS
35019.0,194,2021-04,C00772186,JUDY STAHL FOR CONGRESS
42083.01000000003,112,2021-05,C00661777,CHUY GARCIA FOR CONGRESS
138007.75,2010,2021-04,C00346312,FRIENDS OF SCHUMER
92268.22,206,2021-04,C00774836,STEWART NAVARRE FOR CONGRESS
139651.13999999993,453,2021-06,C00633859,DELGADO FOR CONGRESS
183426.38,240,2021-03,C00699744,TORRES FOR CONGRESS
58360.0,60,2021-06,C00555813,KATHLEEN RICE FOR CONGRESS
57471.439999999995,739,2021-03,C00410803,WHITEHOUSE FOR SENATE
153284.73,484,2021-02,C00648253,JOE NEGUSE FOR CONGRESS
57363.0,350,2021-06,C00774612,HARDEN FOR CONGRESS
36831.39,312,2021-02,C00331769,BARBARA LEE FOR CONGRESS
1020291.0999999931,18832,2021-04,C00736876,WARNOCK FOR GEORGIA
20541.0,152,2021-04,C00547240,MOULTON FOR CONGRESS
92196.5,437,2021-02,C00637363,JASON CROW FOR CONGRESS
377963.09,599,2021-02,C00765164,ALEX PADILLA FOR SENATE
193884.34999999977,1055,2021-05,C00650150,ELISSA SLOTKIN FOR CONGRESS
128328.0,481,2021-05,C00774927,DR. FRIESE FOR ARIZONA
509896.9099999999,9150,2021-02,C00696526,MARK KELLY FOR SENATE
24065.66,94,2021-02,C00498667,MARK TAKANO FOR CONGRESS
49610.4,51,2021-02,C00289603,LOFGREN FOR CONGRESS
88654.06999999999,332,2021-04,C00649376,CAROLYN FOR CONGRESS
64432.0,107,2021-03,C00385773,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS
71634.16,217,2021-02,C00431056,BOB CASEY FOR SENATE INC
147219.09999999992,714,2021-06,C00646844,CINDY AXNE FOR CONGRESS
24214.1,356,2021-05,C00502575,DR. RAUL RUIZ FOR CONGRESS
60739.920000000035,392,2021-04,C00331769,BARBARA LEE FOR CONGRESS
122558.0,225,2021-05,C00662577,KATHY MANNING FOR CONGRESS
72295.0,88,2021-05,C00258475,ANNA ESHOO FOR CONGRESS
56414.09000000002,355,2021-05,C00503185,RO FOR CONGRESS INC
39845.0,40,2021-06,C00384057,STAND WITH SANCHEZ
24260.0,38,2021-04,C00498873,TONY CARDENAS FOR CONGRESS
62680.239999999976,515,2021-05,C00413914,GILLIBRAND FOR SENATE
143141.47999999998,1086,2021-02,C00652719,LAUREN UNDERWOOD FOR CONGRESS
202350.42000000027,1312,2021-06,C00672295,FRIENDS OF LUCY MCBATH
29469.5,110,2021-04,C00657304,STANTON FOR CONGRESS
178225.84000000023,3337,2021-05,C00680934,ILHAN FOR CONGRESS
179244.66999999995,288,2021-03,C00655647,LORI TRAHAN FOR CONGRESS COMMITTEE
48751.0,138,2021-04,C00662619,ANDY LEVIN FOR CONGRESS
24512.71,262,2021-05,C00344473,STABENOW FOR US SENATE
337286.5899999997,8456,2021-03,C00768101,MARCUS FOR GEORGIA
43030.0,60,2021-06,C00401034,BRIAN HIGGINS FOR CONGRESS
59955.0,68,2021-02,C00547240,MOULTON FOR CONGRESS
10100.0,50,2021-03,C00271312,COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS
42314.019999999946,669,2021-03,C00540500,CORY BOOKER FOR SENATE
