total_raised,total_contributions,date,committee,committee_name
133596.8600000003,4557,2020-11,C00632828,CLAUDIA TENNEY FOR CONGRESS
177612.40000000846,5263,2020-11,C00725853,BURGESS 4 UTAH
263048.57999999996,7547,2020-11,C00762237,DEVOLDER SANTOS FOR CONGRESS RECOUNT
135292.37999999998,3524,2020-11,C00721365,DEVOLDER-SANTOS FOR CONGRESS
22853.230000000425,971,2020-11,C00504522,HUDSON FOR CONGRESS
410638.60999999876,15309,2020-11,C00701102,MIKE GARCIA FOR CONGRESS
239100.28000000006,8015,2020-11,C00711689,LACY JOHNSON FOR CONGRESS
25732.940000000595,891,2020-10,C00653220,CAROL FOR CONGRESS
7420.0,29,2020-10,C00674259,DR JOHN JOYCE FOR CONGRESS
28185.0,24,2020-10,C00331397,SIMPSON FOR CONGRESS
19502.639999999996,203,2020-10,C00461806,PAUL GOSAR FOR CONGRESS
134781.33000000205,11107,2020-10,C00607416,BRIAN FITZPATRICK FOR CONGRESS
132908.07,3484,2020-10,C00539825,CAPITO FOR WEST VIRGINIA
16531.100000000002,429,2020-10,C00607838,DREW FERGUSON FOR CONGRESS INC.
21910.2,77,2020-10,C00543967,BUDDY CARTER FOR CONGRESS
318577.85,5324,2020-10,C00543983,BILL CASSIDY FOR US SENATE
94991.7399999992,3085,2020-10,C00467571,"ANDY BARR FOR CONGRESS, INC."
109752.14000000141,3798,2020-10,C00545616,"YOUNG FOR IOWA, INC."
55294.58000000063,2423,2020-10,C00741090,DIANA FOR CONGRESS
133225.78999999998,2914,2020-10,C00718627,TEAM HAGERTY
685963.6400000025,19659,2020-10,C00608398,JOHN KENNEDY FOR US
325705.7499999986,10248,2020-10,C00495846,ANN WAGNER FOR CONGRESS
97889.65000000063,2812,2020-10,C00368522,JOE WILSON FOR CONGRESS
313784.3000000084,6023,2020-10,C00143743,REPUBLICAN PARTY OF TEXAS
134792.95000000185,4576,2020-10,C00717959,FISCHBACH FOR CONGRESS
328917.2500000009,9265,2020-11,C00369033,TEXANS FOR SENATOR JOHN CORNYN INC.
1210086.8199999994,35218,2020-11,C00420935,KEVIN MCCARTHY FOR CONGRESS
338809.5900000115,11572,2020-11,C00545772,THOM TILLIS COMMITTEE
8452.0,24,2020-11,C00372532,MICHAEL BURGESS FOR CONGRESS
16560.0,184,2020-11,C00733469,MARK RONCHETTI FOR NEW MEXICO
37599.780000000006,453,2020-11,C00304758,FRIENDS OF ROY BLUNT
67834.68000000021,1232,2020-10,C00710962,PETER MEIJER FOR CONGRESS
104648.70000000001,1517,2020-10,C00713412,MESSNER FOR SENATE
22742.11,606,2020-11,C00539825,CAPITO FOR WEST VIRGINIA
517482.7699999999,13151,2020-10,C00394957,SCALISE FOR CONGRESS
22292.5,137,2020-10,C00459297,HUIZENGA FOR CONGRESS
741837.769999999,23314,2020-10,C00416594,JIM JORDAN FOR CONGRESS
467567.1699999837,10732,2020-10,C00671859,MARIA ELVIRA SALAZAR FOR CONGRESS
99967.10000000194,2508,2020-10,C00392688,"MCCAUL FOR CONGRESS, INC"
34322.28000000013,1349,2020-10,C00458877,KINZINGER FOR CONGRESS
788044.9099999864,18646,2020-10,C00701003,HUNT FOR CONGRESS
219703.08000000552,2661,2020-10,C00703058,KEAN FOR CONGRESS INC
348136.60999999713,10576,2020-10,C00703843,BICE FOR CONGRESS
141922.77999999913,2611,2020-10,C00721142,ANDREWS FOR CONGRESS
271746.42000001477,9278,2020-10,C00706267,ASHLEY HINSON FOR CONGRESS
60079.5,199,2020-10,C00721365,DEVOLDER-SANTOS FOR CONGRESS
79450.17000000038,4263,2020-10,C00638411,HAGAN FOR CONGRESS
319853.6300000111,9638,2020-10,C00729335,FRIENDS OF NICK FREITAS INC
182050.9400000012,9096,2020-10,C00655571,YVETTE4CONGRESS
85913.18999999925,1101,2020-10,C00441014,ROB WITTMAN FOR CONGRESS
172406.8900000012,1915,2020-10,C00657155,TIFFANY SHEDD FOR CONGRESS COMMITTEE
94430.88,376,2020-10,C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE
16215.210000000003,34,2020-10,C00458679,BLAINE FOR CONGRESS
320437.4700000002,12194,2020-10,C00620518,MARCO RUBIO FOR SENATE
175861.09999999983,3899,2020-10,C00742007,VAN ORDEN FOR CONGRESS
173944.16000000245,13643,2020-10,C00472704,JAIME FOR CONGRESS
18564.0,105,2020-10,C00737650,VAN DE WATER FOR CONGRESS
117445.55999999573,6555,2020-10,C00510164,PATRIOTS FOR PERRY
266217.7700000056,12639,2020-10,C00561183,TENNEY FOR CONGRESS
375629.60000000003,5420,2020-10,C00733469,MARK RONCHETTI FOR NEW MEXICO
24575.0,125,2020-10,C00464032,TOM REED FOR CONGRESS
78693.75000000121,1766,2020-10,C00726687,PAUL JUNGE FOR CONGRESS
111081.25000000035,2596,2020-10,C00713461,KENDALL FOR CONGRESS
64822.71000000075,3037,2020-10,C00012229,ALASKANS FOR DON YOUNG
85807.47999999551,6122,2020-10,C00662767,CHIP ROY FOR CONGRESS
121528.7099999979,2906,2020-10,C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS
43614.299999999756,3231,2020-10,C00371203,JOHN CARTER FOR CONGRESS
44441.31,611,2020-10,C00701433,CHELE FARLEY FOR CONGRESS INC.
185416.82000000353,8083,2020-10,C00729954,GARBARINO FOR CONGRESS
31627.66000000001,201,2020-10,C00734251,"STREICKER FOR CONGRESS, INC."
152221.5799999989,10022,2020-10,C00504522,HUDSON FOR CONGRESS
68563.00000000065,2582,2020-10,C00693663,FEENSTRA FOR CONGRESS
54591.819999999665,2226,2020-10,C00738872,BLAKE MOORE FOR CONGRESS
91938.82999999888,11619,2020-10,C00550707,FRIENDS OF HAGEDORN
35056.50000000002,191,2020-10,C00412759,VERN BUCHANAN FOR CONGRESS
199917.38000000673,12692,2020-10,C00552547,ZELDIN FOR CONGRESS
206865.03000000684,6318,2020-10,C00714865,BETH VAN DUYNE FOR CONGRESS
13193.050000000007,196,2020-10,C00633610,RALPH NORMAN FOR CONGRESS
556460.2199999962,13216,2020-10,C00718239,ANNA PAULINA LUNA FOR CONGRESS
39547.71999999947,1012,2020-10,C00610212,MIKE GALLAGHER FOR WISCONSIN
