linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00762591,SB21B.5496,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-08-01,900.0,AMEX PMT [SB21B.4267]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5495,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-07-31,900.0,AMEX PMT [SB21B.4267]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5494,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-07-30,900.0,AMEX PMT [SB21B.4267]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5665,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5666,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5667,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5668,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5669,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5670,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5671,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5672,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5673,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5674,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5675,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5693,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5694,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-23,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5609,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5608,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5594,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5617,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5616,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5605,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5604,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5603,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5602,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5601,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5600,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5599,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5598,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5597,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5596,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5595,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5584,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5583,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-15,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5607,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5606,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5592,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5679,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5680,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5681,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5682,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5683,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5591,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5590,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5684,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-24,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5623,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5622,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5615,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5614,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5613,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5612,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5611,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5610,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-16,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5589,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5588,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5587,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5586,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5585,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5575,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-14,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5593,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5581,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5580,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5579,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5578,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5577,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5576,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5570,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-13,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5582,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-12,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5574,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-12,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5573,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-12,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5572,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-12,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5571,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-12,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5569,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-11,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5568,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-11,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5567,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-11,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5560,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-11,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5566,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5565,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5564,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5563,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5562,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5561,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5556,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-10,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5559,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-09,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5558,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-09,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5557,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-09,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5555,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-08,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5554,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-07,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5553,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-06,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5551,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-05,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5552,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-04,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5550,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-04,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5549,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-04,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5548,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-03,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5547,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-03,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5546,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-02,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
SB21B,C00762591,SB21B.5545,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,2021-09-02,900.0,AMEX PMT [SB21B.4268]: ONLINE ADVERTISING,X,,2022
