linenumber,fec_committee_id,transaction_id,,,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,,date,amount,,purpose,memo_code,memo_text,cycle
"SB21B","C00762591","SB21B.5179","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210618","-10.96","","AMEX PMT [SB21B.4265]: CREDIT: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5187","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210710","74.36","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5185","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210713","42.64","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5186","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210713","49.30","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5189","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210714","516.05","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5188","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210722","442.61","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5184","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210726","42.53","","AMEX PMT [SB21B.4266]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5190","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20210730","-442.61","","AMEX PMT [SB21B.4267]: CREDIT: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5191","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211021","200.00","","AMEX PMT [SB21B.4271]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5192","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211103","42.77","","AMEX PMT [SB21B.4274]: OFFICE FURNITURE","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5194","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211112","157.84","","AMEX PMT [SB21B.4276]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5193","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211116","58.84","","AMEX PMT [SB21B.4276]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5195","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211119","40.63","","AMEX PMT [SB21B.4277]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5196","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211119","91.20","","AMEX PMT [SB21B.4277]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5197","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211129","160.49","","AMEX PMT [SB21B.4279]: OFFICE FURNITURE","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5199","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211129","85.59","","AMEX PMT [SB21B.4279]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5200","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211129","92.34","","AMEX PMT [SB21B.4279]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5198","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211201","53.48","","AMEX PMT [SB21B.4279]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5201","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211201","221.37","","AMEX PMT [SB21B.4279]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5202","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211201","442.74","","AMEX PMT [SB21B.4279]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5203","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211211","47.68","","AMEX PMT [SB21B.4280]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5204","","","ORG","AMAZON","","","","","","440 TERRY AVE. NORTH","","SEATTLE","WA","98109","","","20211216","49.21","","AMEX PMT [SB21B.4280]: OFFICE SUPPLIES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5206","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210617","288.40","","AMEX PMT [SB21B.4265]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5208","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210705","375.80","","AMEX PMT [SB21B.4266]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5209","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210706","30.00","","AMEX PMT [SB21B.4266]: TRAVEL: BAGGAGE FEE","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5210","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210706","40.00","","AMEX PMT [SB21B.4266]: TRAVEL: BAGGAGE FEE","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5207","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210714","280.40","","AMEX PMT [SB21B.4266]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5222","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210716","924.41","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5223","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210722","125.83","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5224","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210730","226.40","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5225","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210809","244.20","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5226","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210809","156.70","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5229","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210830","400.79","","REIMBURSEMENT [SB21B.4901]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5230","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210830","30.00","","REIMBURSEMENT [SB21B.4901]: TRAVEL: BAGGAGE FEES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5211","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210831","274.40","","AMEX PMT [SB21B.4268]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5231","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210901","30.00","","REIMBURSEMENT [SB21B.4901]: TRAVEL: BAGGAGE FEES","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5227","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210903","679.90","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5232","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210915","293.60","","REIMBURSEMENT [SB21B.4943]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5228","","","ORG","AMERICAN AIRLINES","","","","","","4333 AMON CARTER BLVD","","FORT WORTH","TX","76155","","","20210922","134.70","","REIMBURSEMENT [SB21B.4796]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
