linenumber,fec_committee_id,transaction_id,,,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,,date,amount,,purpose,memo_code,memo_text,cycle
"SB21B","C00762591","SB21B.5682","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5683","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5684","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5685","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5686","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5687","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5688","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5689","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5690","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5691","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5692","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5707","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210924","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5695","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5696","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5697","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5698","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5699","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5700","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5701","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5702","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5703","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5704","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5705","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5706","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5708","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4268]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5733","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210925","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5722","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5723","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5724","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5725","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5726","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5727","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5728","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5729","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5730","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5731","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5732","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210926","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5713","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5714","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5715","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5716","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5717","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5718","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5719","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5720","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5721","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210927","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5709","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5710","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5711","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5712","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5752","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5753","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5754","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5755","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210928","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5744","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5745","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5746","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5747","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5748","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5749","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5750","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5751","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210929","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5736","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5737","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5738","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5739","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5740","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5741","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5742","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5743","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20210930","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5734","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5735","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","900.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5810","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5811","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5812","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5813","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5814","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5815","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5816","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5817","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211001","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5799","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5800","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5801","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5802","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5803","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5804","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5805","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5806","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5807","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5808","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5809","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211002","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5789","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5790","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5791","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5792","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5793","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5794","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5795","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5796","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5797","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5798","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211003","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5784","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211004","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5785","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211004","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5786","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211004","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5787","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211004","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5788","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211004","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5770","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211005","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5771","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211005","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
"SB21B","C00762591","SB21B.5772","","","ORG","FACEBOOK","","","","","","1 HACKER WAY","","MENLO PARK","CA","94025","","","20211005","1170.00","","AMEX PMT [SB21B.4269]: ONLINE ADVERTISING","","","","","","","","","","","","","","","","","","","X","",""
